transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,530,16.73,46.07,0.73,900,0.8077222222222223
1,1430,16.67,46.07,0.73,900,0.5791444444444445
2,2530,16.42,46.07,0.73,1100,0.7055272727272729
3,3730,16.32,45.92,0.73,1200,0.7686833333333334
4,5050,16.28,46.01,0.73,1320,0.8443939393939395
5,6300,16.08,46.23,0.73,1250,0.800528
6,7620,16.05,46.39,0.73,1320,0.8374621212121212
7,8960,15.9,46.8,0.73,1340,0.8439328358208956
8,10440,15.7,47.34,0.73,1480,0.9307162162162163
9,11960,15.59,47.75,0.73,1520,0.9266513157894736
10,13520,15.62,47.68,0.73,1560,0.9485769230769233
11,15170,15.3,48.25,0.73,1650,0.9669636363636362
12,16940,15.12,48.51,0.73,1770,1.0212485875706214
13,18650,14.92,49.09,0.73,1710,0.95553216374269
14,20410,14.9,49.1,0.73,1760,0.9633125000000001
15,22170,14.87,48.97,0.73,1760,0.925403409090909
16,23890,14.8,48.94,0.73,1720,0.8742906976744186
17,25840,21.13,34.65,0.73,1950,0.9571897435897435
18,28040,22.97,32.37,0.73,2200,1.0483454545454545
19,30410,24.37,30.37,0.73,2370,1.27515611814346
20,32820,26.55,27.98,0.73,2410,1.427817427385892
21,35220,25.07,29.65,0.73,2400,1.6585458333333334
22,37480,20.1,38.53,0.73,2260,1.7940442477876108
23,39570,21.25,34.13,0.73,2090,1.6905406698564593
24,41590,21.36,31.47,0.73,2020,1.7141138613861386
25,43530,21.95,30.36,0.73,1940,1.6412680412371137
26,45490,22.27,29.7,0.73,1960,1.646576530612245
27,47430,22.27,28.76,0.73,1940,1.59020618556701
28,49380,22.14,28.76,0.73,1950,1.5632615384615383
29,51300,22.22,29.75,0.73,1920,1.4727083333333335
30,53120,22.04,29.87,0.73,1820,1.3736538461538461
31,55090,23.02,28.13,0.73,1970,1.4374568527918785
32,57130,23.4,28.19,0.73,2040,1.475598039215686
33,59260,23.5,28.01,0.73,2130,1.4814507042253522
34,61380,23.37,27.28,0.73,2120,1.4658537735849058
35,63560,22.95,27.93,0.73,2180,1.4684036697247709
36,65750,22.38,28.54,0.73,2190,1.4753150684931506
37,67940,22.2,26.88,0.73,2190,1.4773242009132421
38,70120,21.68,26.97,0.73,2180,1.4917568807339447
39,72280,21.41,27.27,0.73,2160,1.4792777777777777
40,74320,20.89,27.42,0.73,2040,1.3968970588235297
41,76360,20.55,27.76,0.73,2040,1.4088676470588235
42,78370,20.22,28.04,0.73,2010,1.396363184079602
43,80260,19.91,28.49,0.73,1890,1.3294232804232802
44,82120,19.66,28.56,0.73,1860,1.31205376344086
45,83920,19.41,28.78,0.73,1800,1.2707611111111112
46,85680,19.25,28.76,0.73,1760,1.243585227272727
47,87340,19.16,28.69,0.73,1660,1.1877289156626505
48,88960,19.05,28.7,0.72,1620,1.162388888888889
49,90570,18.89,28.61,0.72,1610,1.1552422360248447
50,92070,18.63,28.78,0.72,1500,1.0768933333333335
51,93700,18.23,28.81,0.72,1630,1.1684662576687115
52,95250,17.95,29.04,0.72,1550,1.1125483870967743
53,96800,17.69,29.16,0.72,1550,1.112909677419355
54,98420,17.54,29.33,0.72,1620,1.1624382716049384
55,99850,17.33,29.88,0.72,1430,1.0276083916083916
56,101160,17.18,30.04,0.72,1310,0.9365419847328244
