transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,550,18.84,43.63,0.74,900,0.7945892857142857
1,1440,18.61,43.79,0.74,890,0.5726853932584269
2,2470,18.44,43.95,0.74,1030,0.6611747572815533
3,3650,18.24,44.05,0.74,1180,0.7557033898305084
4,4960,18.03,44.05,0.74,1310,0.8372137404580154
5,6220,17.89,44.12,0.74,1260,0.8049920634920635
6,7450,17.74,44.16,0.74,1230,0.779780487804878
7,8880,17.61,44.32,0.74,1430,0.8943356643356644
8,10330,17.44,44.5,0.74,1450,0.9070344827586208
9,11820,17.32,44.65,0.74,1490,0.9045973154362414
10,13350,17.19,44.75,0.74,1530,0.9254771241830064
11,14880,16.99,45.18,0.74,1530,0.9007973856209152
12,16520,16.75,45.57,0.74,1640,0.9409999999999998
13,18200,16.58,45.83,0.74,1680,0.9526309523809522
14,19870,16.45,46.04,0.74,1670,0.9089161676646705
15,21560,16.39,46.07,0.74,1690,0.9195207100591718
16,23200,16.28,46.45,0.74,1640,0.8295182926829268
17,25090,16.26,46.5,0.74,1890,0.9559206349206348
18,27070,23.41,33.38,0.74,1980,0.9450959595959594
19,29230,25.82,29.79,0.74,2160,1.0857453703703703
20,31490,28.25,26.76,0.74,2260,1.2348230088495573
21,33680,28.69,26.19,0.74,2190,1.4569634703196344
22,35710,30.02,24.44,0.74,2030,1.3977980295566503
23,37590,29.33,25.4,0.74,1880,1.505446808510638
24,39300,28.73,25.71,0.74,1710,1.3775730994152044
25,40970,28.45,25.63,0.74,1670,1.4124970059880237
26,42670,28.86,24.51,0.74,1700,1.4369
27,44490,29.44,23.3,0.74,1820,1.5225274725274724
28,46290,29.46,23.2,0.74,1800,1.5048666666666666
29,47940,29.18,23.12,0.74,1650,1.3267090909090908
30,49540,28.58,23.56,0.74,1600,1.28008125
31,51160,28.28,23.78,0.74,1620,1.2379567901234567
32,52740,28.29,23.73,0.74,1580,1.1900506329113925
33,54510,27.68,24.64,0.74,1770,1.3085197740112993
34,56300,27.17,25.33,0.74,1790,1.2903798882681565
