transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,10,19.91,41.13,0.6,900,1.134
1,930,19.78,40.77,0.6,920,0.5913586956521739
2,2050,19.63,40.91,0.6,1120,0.7174821428571428
3,3340,19.45,40.85,0.6,1290,0.8250077519379846
4,4850,19.26,40.96,0.6,1510,0.9635562913907283
5,6310,19.19,41.2,0.6,1460,0.9320273972602741
6,7770,19.01,41.44,0.6,1460,0.9219452054794521
7,9380,18.86,41.31,0.6,1610,1.0086335403726707
8,11040,18.73,41.52,0.6,1660,1.0307168674698794
9,12750,18.64,41.72,0.6,1710,1.0373216374269005
10,14630,18.58,41.8,0.6,1880,1.1269202127659574
11,16560,18.49,41.72,0.6,1930,1.1125699481865285
12,18590,18.23,42.12,0.6,2030,1.136906403940887
13,20610,18.24,42.18,0.6,2020,1.10079702970297
14,22650,18.13,42.11,0.6,2040,1.0505392156862745
15,24870,18.11,41.91,0.59,2220,1.1203423423423424
16,27290,22.88,33.54,0.59,2420,1.1483760330578512
17,29740,23.68,33.1,0.59,2450,1.2669632653061227
18,32270,24.95,31.69,0.59,2530,1.3749446640316205
19,34690,25.58,30.55,0.58,2420,1.6668512396694215
20,36910,25.45,30.66,0.58,2220,1.6974504504504506
21,38880,24.21,32.28,0.58,1970,1.5931116751269034
22,40600,23.07,34.01,0.58,1720,1.450627906976744
23,42150,23.46,32.54,0.58,1550,1.320374193548387
24,43760,23.68,31.76,0.58,1610,1.36227950310559
25,45370,23.56,31.5,0.58,1610,1.3572795031055902
26,47030,23.7,31.02,0.58,1660,1.3817228915662652
27,48560,23.97,29.9,0.58,1530,1.2323137254901961
28,50100,23.84,30.55,0.58,1540,1.241064935064935
29,51610,23.48,30.67,0.58,1510,1.1456291390728477
30,53320,23.16,30.8,0.58,1710,1.2904093567251462
31,55020,23.1,30.92,0.58,1700,1.2411823529411765
32,56790,22.95,30.98,0.58,1770,1.2823050847457627
33,58580,22.83,30.42,0.58,1790,1.255173184357542
34,60540,22.67,31.1,0.58,1960,1.3608673469387755
35,62480,21.9,31.49,0.58,1940,1.312185567010309
36,64370,21.58,31.71,0.58,1890,1.2742222222222224
37,66210,21.22,32.1,0.58,1840,1.2430652173913042
38,68100,21.6,33.38,0.58,1890,1.2780105820105823
39,70190,21.46,31.63,0.58,2090,1.4322153110047848
40,72280,21.29,31.6,0.58,2090,1.431315789473684
41,74330,21.21,31.24,0.58,2050,1.4035219512195123
42,76360,21.05,31.44,0.58,2030,1.4014433497536944
43,78320,20.88,31.22,0.58,1960,1.361576530612245
44,80240,20.72,31.31,0.58,1920,1.3493385416666666
45,82160,20.57,31.24,0.58,1920,1.355453125
46,84100,20.43,31.15,0.58,1940,1.3690721649484536
47,86160,20.36,30.96,0.58,2060,1.4523640776699023
48,88170,20.24,30.89,0.58,2010,1.437059701492537
49,90090,20.12,30.8,0.58,1920,1.37278125
50,91940,20.03,30.65,0.58,1850,1.3233891891891891
51,93920,19.78,30.59,0.58,1980,1.4144393939393938
52,96010,19.53,30.43,0.58,2090,1.4919665071770336
53,98110,19.32,30.32,0.58,2100,1.4993571428571428
54,100420,19.16,30.36,0.58,2310,1.6456796536796534
55,102710,18.99,30.47,0.58,2290,1.6106943231441049
56,105000,18.83,30.54,0.58,2290,1.600344978165939
57,107210,18.84,30.76,0.58,2210,1.5333257918552032
58,109490,18.91,31.08,0.58,2280,1.560359649122807
59,111760,19.77,30.26,0.58,2270,1.5465814977973567
60,114080,24.01,25.5,0.58,2320,1.559603448275862
61,116380,25.82,24.03,0.58,2300,1.633330434782609
62,118650,26.47,23.83,0.58,2270,1.6394317180616742
63,120820,25.81,24.69,0.58,2170,1.7774884792626726
64,122990,23.56,28.02,0.58,2170,1.8199308755760368
65,125150,22.42,30.48,0.58,2160,1.8549305555555555
66,127150,22.21,32.41,0.58,2000,1.753395
67,129040,21.47,33.61,0.58,1890,1.6662804232804231
68,130780,21.18,34.57,0.58,1740,1.5213333333333334
69,132430,21.88,32.7,0.58,1650,1.4426545454545452
70,133900,23.8,29.9,0.58,1470,1.2672244897959186
