transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,510,19.87,39.83,0.61,900,0.8205
1,1470,19.67,39.78,0.61,960,0.6168958333333333
2,2550,19.35,39.82,0.61,1080,0.6922777777777778
3,3740,18.95,40.0,0.61,1190,0.7618739495798319
4,5120,18.54,40.77,0.61,1380,0.8819202898550725
5,6450,18.36,41.04,0.61,1330,0.8497443609022557
6,7710,18.23,41.25,0.61,1260,0.7969444444444443
7,9150,18.08,41.51,0.61,1440,0.9035069444444445
8,10620,17.91,41.73,0.61,1470,0.9211904761904761
9,12140,17.78,41.98,0.61,1520,0.9225723684210527
10,13610,17.66,42.16,0.61,1470,0.891986394557823
11,15180,17.44,42.58,0.61,1570,0.9162165605095541
12,16850,17.24,42.85,0.61,1670,0.9624790419161677
13,18460,17.07,43.11,0.61,1610,0.9051490683229814
14,20110,17.09,43.03,0.61,1650,0.9016181818181819
15,21810,17.01,43.32,0.61,1700,0.9115352941176472
16,23610,16.89,43.45,0.61,1800,0.9092444444444446
17,25500,20.04,37.42,0.61,1890,0.9380529100529101
18,27600,25.82,28.39,0.61,2100,0.9991047619047619
19,29760,27.53,26.25,0.61,2160,1.1326666666666665
20,31950,29.12,24.58,0.61,2190,1.1924200913242007
21,34010,29.4,23.88,0.61,2060,1.406684466019417
22,35870,29.88,23.42,0.61,1860,1.2837956989247312
23,37600,28.34,25.36,0.61,1730,1.3963641618497111
24,39100,27.06,26.64,0.61,1500,1.2203533333333334
25,40420,26.44,27.35,0.61,1320,1.1214848484848485
26,41560,26.64,26.41,0.61,1140,0.9757192982456142
27,42730,27.0,25.71,0.61,1170,1.003384615384616
28,44060,27.51,24.58,0.61,1330,1.1263759398496238
29,45470,27.35,24.82,0.61,1410,1.1886241134751774
30,46890,27.3,24.44,0.61,1420,1.1908732394366195
31,48250,27.56,23.86,0.61,1360,1.0967279411764705
32,49560,27.01,24.14,0.61,1310,1.0563206106870227
33,50840,27.36,23.49,0.61,1280,0.9957500000000001
34,52180,27.41,23.37,0.6,1340,1.0161044776119403
