transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,810,19.4,40.62,0.57,900,0.629841463414634
1,1820,19.27,40.86,0.57,1010,0.6481881188118811
2,3040,19.1,40.82,0.57,1220,0.7797213114754098
3,4270,18.96,40.83,0.57,1230,0.7956666666666665
4,5640,18.81,40.83,0.57,1370,0.8875620437956203
5,7080,18.68,40.74,0.57,1440,0.9318958333333334
6,8650,18.54,41.57,0.57,1570,0.9841847133757962
7,10260,18.43,41.38,0.57,1610,1.0093975155279502
8,11860,18.28,41.21,0.57,1600,0.9741875000000001
9,13490,18.87,40.43,0.57,1630,0.9886503067484665
10,15180,18.16,41.41,0.57,1690,0.9892958579881656
11,16760,18.68,40.07,0.57,1580,0.9122025316455699
12,18360,17.95,42.02,0.57,1600,0.90373125
13,20000,18.16,40.92,0.57,1640,0.8964878048780487
14,21810,17.88,41.98,0.57,1810,0.975524861878453
15,23730,18.33,40.6,0.57,1920,0.9897760416666667
16,25760,21.2,34.58,0.57,2030,1.0065566502463053
17,27890,22.72,33.37,0.57,2130,1.0122535211267607
18,30010,23.73,32.07,0.57,2120,1.1280801886792453
19,32280,23.74,32.58,0.57,2270,1.234488986784141
20,34570,24.19,31.45,0.57,2290,1.5776943231441052
21,36860,24.34,31.2,0.57,2290,1.736414847161572
22,39120,23.31,32.77,0.57,2260,1.8173584070796462
23,41280,22.63,33.21,0.57,2160,1.801087962962963
24,43320,22.99,31.74,0.57,2040,1.7061764705882352
25,45230,23.18,31.37,0.57,1910,1.6003769633507852
26,47110,23.32,30.56,0.57,1880,1.553808510638298
27,48980,23.35,30.07,0.57,1870,1.4939893048128345
28,50780,23.53,29.66,0.57,1800,1.4059944444444445
29,52650,22.7,30.42,0.57,1870,1.4020855614973262
30,54570,22.52,30.61,0.57,1920,1.4106718749999998
31,56530,22.46,30.49,0.57,1960,1.41234693877551
32,58560,22.4,29.9,0.57,2030,1.4199901477832515
33,60640,21.88,31.05,0.57,2080,1.4357019230769228
34,62810,21.59,31.26,0.57,2170,1.4779124423963133
35,64970,21.2,31.37,0.57,2160,1.4695231481481483
