transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,210,18.12,44.92,0.32,900,1.0122272727272725
1,1180,17.85,45.15,0.32,970,0.6244329896907217
2,2300,17.5,45.16,0.32,1120,0.7193928571428572
3,3570,17.09,45.51,0.32,1270,0.8142047244094489
4,4900,16.55,46.65,0.32,1330,0.8653984962406016
5,6210,16.34,47.17,0.32,1310,0.8525419847328244
6,7550,16.17,47.6,0.32,1340,0.8592985074626867
7,8950,16.09,47.8,0.32,1400,0.8820642857142856
8,10460,15.99,48.01,0.32,1510,0.950278145695364
9,12070,15.73,48.75,0.32,1610,0.9816211180124225
10,13740,15.64,48.89,0.32,1670,1.0162335329341317
11,15450,15.35,49.43,0.32,1710,0.9970643274853801
12,17100,15.12,49.81,0.32,1650,0.9556545454545453
13,18700,15.12,49.84,0.32,1600,0.8944624999999999
14,20320,15.33,48.93,0.32,1620,0.8903395061728396
15,22030,15.23,49.06,0.32,1710,0.9165263157894737
16,23760,15.23,48.9,0.32,1730,0.8984971098265897
17,25580,21.67,34.7,0.32,1820,0.9172967032967034
18,27470,25.24,30.27,0.32,1890,0.906047619047619
19,29390,27.18,27.62,0.32,1920,0.989984375
20,31510,29.1,25.73,0.32,2120,1.1612452830188682
21,33610,20.83,38.34,0.32,2100,1.4048333333333334
22,35490,21.13,38.35,0.32,1880,1.309287234042553
23,37120,20.94,38.83,0.32,1630,1.3114110429447852
24,38500,21.05,37.2,0.32,1380,1.1301739130434785
25,39740,21.51,36.16,0.32,1240,1.0253145161290322
26,40900,21.67,35.15,0.32,1160,0.9873965517241379
27,41940,22.25,33.03,0.32,1040,0.88675
28,42870,22.03,32.99,0.32,930,0.7946881720430108
29,43830,22.5,31.72,0.32,960,0.81959375
30,44880,22.55,31.99,0.32,1050,0.8955047619047619
31,45930,22.86,31.26,0.32,1050,0.8949428571428572
32,46930,22.76,30.97,0.32,1000,0.8430399999999999
33,47930,22.86,30.32,0.32,1000,0.8131699999999998
34,48950,22.57,30.63,0.32,1020,0.8295588235294119
35,49990,22.38,30.25,0.32,1040,0.8454134615384615
36,51110,22.42,30.66,0.32,1120,0.8609910714285715
37,52230,22.43,30.27,0.32,1120,0.8537053571428572
38,53400,22.39,29.86,0.32,1170,0.8907094017094015
39,54600,22.72,30.01,0.32,1200,0.8866750000000001
40,55780,22.56,30.61,0.32,1180,0.8633474576271185
41,57010,21.93,31.43,0.32,1230,0.8990406504065039
42,58170,22.16,30.83,0.32,1160,0.8232844827586208
43,59360,22.19,30.45,0.32,1190,0.8350168067226891
44,60560,22.22,30.38,0.32,1200,0.8414833333333334
45,61810,21.45,31.18,0.32,1250,0.8675679999999998
46,63120,21.69,30.32,0.32,1310,0.9050534351145038
47,64520,21.65,30.48,0.32,1400,0.9659357142857141
48,66010,21.9,30.3,0.32,1490,1.0272147651006713
49,67660,21.93,30.26,0.32,1650,1.1357878787878788
50,69490,21.72,30.32,0.32,1830,1.257874316939891
51,71320,21.48,30.67,0.32,1830,1.258207650273224
52,73250,21.16,30.58,0.32,1930,1.3421502590673577
53,75160,20.8,30.36,0.32,1910,1.3308848167539264
54,77160,20.52,30.6,0.32,2000,1.3925649999999998
55,79210,20.21,30.95,0.32,2050,1.4273024390243905
56,81240,19.96,31.09,0.32,2030,1.4333497536945814
57,83280,19.72,30.98,0.32,2040,1.4481470588235292
58,85070,19.51,31.04,0.32,1790,1.2836033519553072
59,86960,19.45,30.64,0.32,1890,1.3540687830687832
60,88860,19.32,30.82,0.32,1900,1.360942105263158
61,90790,19.03,30.68,0.32,1930,1.3822746113989637
62,92670,17.99,31.88,0.32,1880,1.3470957446808511
63,94500,17.69,32.28,0.32,1830,1.311879781420765
64,96260,17.34,32.44,0.32,1760,1.262625
65,98060,16.93,32.73,0.32,1800,1.2907611111111112
66,99830,16.96,32.83,0.32,1770,1.2695649717514126
67,101630,16.77,32.91,0.32,1800,1.2906777777777778
68,103480,16.49,33.56,0.32,1850,1.32627027027027
69,105340,16.47,33.56,0.32,1860,1.3191774193548385
70,107330,16.85,33.25,0.32,1990,1.4053266331658287
71,109200,17.06,33.35,0.32,1870,1.290048128342246
72,111110,17.21,33.44,0.32,1910,1.3120890052356018
73,113120,27.13,21.47,0.32,2010,1.3606965174129355
74,115190,29.55,19.87,0.32,2070,1.3999227053140095
75,117350,22.88,28.21,0.32,2160,1.5875879629629632
76,119410,21.82,30.1,0.32,2060,1.616854368932039
77,121300,22.23,30.25,0.32,1890,1.5771164021164024
78,123040,22.67,30.34,0.32,1740,1.4954540229885058
79,124650,23.01,30.06,0.32,1610,1.4109316770186338
80,126050,23.22,30.16,0.32,1400,1.2319857142857147
81,127300,22.5,31.62,0.32,1250,1.1248639999999999
82,128300,22.21,32.19,0.31,1000,0.9030799999999999
83,129360,22.29,31.6,0.31,1060,0.9564150943396226
