transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,150,19.28,41.68,0.69,900,1.0451875
1,1050,19.08,41.81,0.69,900,0.5785888888888889
2,2160,18.93,41.75,0.69,1110,0.710945945945946
3,3450,18.71,41.78,0.69,1290,0.8239224806201552
4,4940,18.24,42.3,0.69,1490,0.949463087248322
5,6360,18.0,42.53,0.69,1420,0.9052253521126763
6,7710,17.83,42.79,0.69,1350,0.8524444444444446
7,9190,17.69,42.86,0.69,1480,0.9275540540540541
8,10730,17.52,43.09,0.69,1540,0.9646493506493505
9,12380,17.34,43.35,0.69,1650,0.9994606060606059
10,14040,17.22,43.84,0.69,1660,1.0049879518072287
11,15690,17.0,44.17,0.69,1650,0.9516909090909089
12,17480,16.83,44.45,0.69,1790,1.0282290502793296
13,19320,16.65,44.59,0.69,1840,1.0059945652173914
14,21270,16.63,44.71,0.69,1950,1.0606923076923074
15,23130,16.53,44.98,0.69,1860,0.9426075268817203
16,25180,16.51,45.01,0.69,2050,1.0357317073170729
17,27310,23.11,32.97,0.69,2130,1.0121830985915492
18,29550,24.91,30.35,0.69,2240,1.1499687499999998
19,31870,27.18,27.29,0.69,2320,1.2592155172413795
20,34220,27.86,26.14,0.69,2350,1.5935148936170214
21,36380,28.51,25.45,0.69,2160,1.561935185185185
22,38310,27.53,26.71,0.69,1930,1.5519533678756474
23,40160,27.07,26.78,0.69,1850,1.528227027027027
24,42020,27.56,25.38,0.69,1860,1.5730376344086021
25,43860,28.05,24.21,0.69,1840,1.5465597826086956
26,45800,28.23,23.71,0.69,1940,1.6229690721649486
27,47770,27.92,23.62,0.69,1970,1.5927258883248732
28,49690,27.64,23.56,0.69,1920,1.5312031250000002
29,51580,27.44,23.78,0.69,1890,1.432851851851852
30,53480,27.25,23.64,0.69,1900,1.4305210526315786
31,55420,27.06,24.38,0.69,1940,1.4041134020618558
32,57470,26.87,24.41,0.69,2050,1.4774048780487803
33,59660,25.9,25.37,0.69,2190,1.51386301369863
34,62050,23.85,27.4,0.69,2390,1.6244267782426782
35,64540,23.47,27.82,0.69,2490,1.6660722891566269
36,66950,22.75,28.58,0.69,2410,1.612751037344398
37,69340,22.38,29.1,0.69,2390,1.6160334728033472
38,71780,22.08,29.26,0.69,2440,1.658553278688525
39,74240,21.81,29.27,0.69,2460,1.6730487804878051
40,76780,21.46,29.37,0.69,2540,1.7461574803149607
41,79280,21.06,29.54,0.69,2500,1.725968
42,81790,20.75,29.68,0.69,2510,1.7537689243027892
43,84380,20.44,29.71,0.68,2590,1.8085830115830113
44,86950,20.24,29.51,0.68,2570,1.806863813229572
45,89500,20.05,29.47,0.68,2550,1.8085254901960783
46,91970,19.73,29.68,0.68,2470,1.7541862348178134
47,94460,19.15,29.88,0.68,2490,1.7673694779116467
48,96920,18.74,29.98,0.68,2460,1.7461626016260163
49,99330,18.44,29.9,0.68,2410,1.7116639004149379
50,101790,18.17,30.16,0.68,2460,1.7310040650406502
51,104130,17.92,30.32,0.68,2340,1.6399102564102566
52,106460,17.79,30.54,0.68,2330,1.6118197424892702
53,108740,17.79,30.96,0.68,2280,1.5651929824561404
54,110990,17.76,31.53,0.68,2250,1.5351911111111112
55,113240,24.24,24.33,0.68,2250,1.5138133333333332
56,115340,26.35,22.48,0.68,2100,1.4268809523809525
57,117310,28.17,20.87,0.68,1970,1.4242182741116753
58,119140,28.43,20.6,0.68,1830,1.384912568306011
59,120930,29.05,20.32,0.68,1790,1.4681117318435755
60,122690,30.17,19.37,0.68,1760,1.4670738636363634
61,124200,30.57,19.23,0.68,1510,1.3032516556291387
62,125640,30.84,19.07,0.68,1440,1.2433541666666665
63,126920,30.35,19.59,0.68,1280,1.1314921875
64,127990,29.76,20.03,0.67,1070,0.9525794392523366
65,128940,29.27,20.48,0.67,950,0.8479894736842106
66,129790,29.13,20.56,0.67,850,0.7558823529411764
67,130860,28.75,21.16,0.67,1070,0.9416728971962617
68,131890,29.14,21.04,0.67,1030,0.907242718446602
69,132900,29.27,20.92,0.67,1010,0.8904752475247524
70,133970,29.69,20.9,0.67,1070,0.9229439252336448
71,135040,29.68,21.53,0.67,1070,0.9215700934579438
72,136080,29.4,22.11,0.67,1040,0.8957884615384616
73,137200,29.23,22.59,0.67,1120,0.9500892857142855
74,138240,29.04,22.83,0.67,1040,0.874576923076923
75,139420,29.04,22.95,0.67,1180,0.9900338983050847
76,140680,29.1,23.17,0.67,1260,1.0464841269841272
77,141770,29.14,23.0,0.67,1090,0.8948073394495413
78,142960,29.01,23.36,0.67,1190,0.9746386554621846
79,144060,29.38,22.95,0.67,1100,0.9012181818181818
80,145260,29.73,22.43,0.67,1200,0.9718666666666665
81,146480,29.64,22.44,0.67,1220,0.9874754098360656
82,147740,29.45,23.06,0.66,1260,1.0141031746031746
83,148990,29.29,23.32,0.66,1250,0.987176
84,150380,29.18,23.61,0.66,1390,1.0956906474820145
85,151680,25.15,29.9,0.66,1300,1.0181615384615383
86,152980,24.18,31.19,0.66,1300,1.0132076923076923
87,154220,23.76,31.76,0.66,1240,0.9673306451612901
88,155610,23.47,32.24,0.66,1390,1.0824676258992807
89,157010,23.17,33.14,0.66,1400,1.0901928571428572
90,158540,22.81,33.42,0.66,1530,1.1892026143790848
91,159930,22.61,33.7,0.66,1390,1.082136690647482
92,161360,22.39,33.77,0.66,1430,1.112811188811189
93,162660,22.19,33.94,0.66,1300,1.0131
94,164140,21.93,34.32,0.66,1480,1.1513175675675675
95,165620,21.76,34.54,0.66,1480,1.1524054054054056
96,167070,21.65,34.85,0.66,1450,1.143089655172414
97,168600,21.37,35.29,0.66,1530,1.2054640522875817
98,170090,21.0,35.64,0.66,1490,1.1744362416107383
99,171500,20.62,36.09,0.66,1410,1.1122765957446807
100,172800,20.33,36.43,0.66,900,1.026976923076923
101,173730,20.13,36.75,0.66,930,0.7477634408602151
102,174830,19.97,36.98,0.66,1100,0.8820727272727273
103,176090,19.76,37.23,0.66,1260,1.0078888888888888
104,177410,19.51,37.66,0.66,1320,1.054840909090909
105,178710,19.27,38.05,0.66,1300,1.0391384615384616
106,180060,19.07,38.29,0.66,1350,1.078511111111111
107,181390,18.91,38.37,0.66,1330,1.0629022556390977
108,182690,18.74,38.46,0.66,1300,1.0393384615384618
109,184000,18.59,38.6,0.66,1310,1.0473282442748093
110,185400,18.42,38.74,0.66,1400,1.1179285714285716
111,186660,18.34,38.77,0.66,1260,1.0078650793650794
112,188020,18.15,38.9,0.66,1360,1.0749779411764706
113,189310,18.01,39.08,0.66,1290,1.0185968992248062
114,190790,17.86,39.25,0.66,1480,1.1659054054054052
115,192020,17.76,39.28,0.66,1230,0.9600650406504065
116,193350,17.73,39.35,0.66,1330,1.0366917293233084
117,194510,17.68,39.58,0.66,1160,0.9043275862068967
118,195900,17.62,39.82,0.65,1390,1.0692733812949642
119,197200,17.61,39.69,0.65,1300,1.0008230769230768
120,198340,21.6,32.44,0.65,1140,0.8674561403508773
121,199580,24.13,28.85,0.65,1240,0.9301048387096774
122,200950,25.22,27.29,0.65,1370,1.025978102189781
123,202210,26.02,26.41,0.65,1260,0.9633333333333334
124,203500,25.85,26.75,0.65,1290,0.9924651162790699
125,204640,26.74,25.76,0.65,1140,0.8787368421052634
126,205910,27.61,24.87,0.65,1270,1.0282283464566928
127,207060,28.34,24.16,0.65,1150,0.9435043478260869
128,208080,29.1,23.34,0.65,1020,0.8385686274509804
129,209300,29.56,22.62,0.65,1220,1.0315245901639345
130,210270,29.94,22.08,0.65,970,0.8364742268041239
131,211450,30.49,21.41,0.65,1180,1.01428813559322
132,212490,30.99,20.93,0.65,1040,0.8999615384615384
133,213490,31.25,20.55,0.65,1000,0.8820999999999999
134,214360,31.33,20.5,0.65,870,0.769425287356322
135,215400,31.63,20.31,0.65,1040,0.9164903846153846
136,216230,31.78,20.12,0.65,830,0.73455421686747
137,217310,32.28,19.76,0.65,1080,0.951388888888889
138,218230,32.23,19.87,0.65,920,0.8126304347826087
139,219300,32.42,19.87,0.65,1070,0.9427757009345793
140,220150,32.48,20.06,0.65,850,0.7372000000000001
141,221210,32.46,20.21,0.65,1060,0.9131886792452831
142,222020,32.63,20.18,0.65,810,0.7013580246913579
143,223070,30.37,22.59,0.65,1050,0.9052285714285714
144,224020,28.85,24.66,0.65,950,0.8114736842105263
145,225210,28.04,25.63,0.65,1190,1.0120336134453778
146,226150,27.55,26.31,0.64,940,0.8026914893617022
147,227140,27.12,26.94,0.64,990,0.8333131313131313
148,228310,26.63,27.77,0.64,1170,0.9718205128205127
149,229310,26.38,28.35,0.64,1000,0.83294
150,230540,25.82,29.53,0.64,1230,1.0206747967479677
151,231600,25.55,30.18,0.64,1060,0.8820377358490566
152,232870,24.94,30.99,0.64,1270,1.053503937007874
153,233890,24.53,31.81,0.64,1020,0.849186274509804
154,235140,24.08,32.48,0.64,1250,1.037568
155,236140,23.79,32.86,0.64,1000,0.83291
156,237250,23.42,33.46,0.64,1110,0.9236756756756759
157,238320,22.95,35.11,0.64,1070,0.890336448598131
158,239580,22.79,35.31,0.64,1260,1.045515873015873
159,240590,22.59,35.48,0.64,1010,0.8408910891089109
160,241770,22.37,35.92,0.64,1180,0.9801610169491526
161,242730,22.24,35.85,0.64,960,0.8000937500000002
162,243870,22.03,36.34,0.64,1140,0.9473157894736843
163,245050,21.83,36.73,0.64,1180,0.9796779661016951
164,246110,21.77,36.78,0.63,1060,0.8820377358490566
165,247310,21.74,36.75,0.63,1200,0.9962000000000001
166,248340,21.6,37.07,0.63,1030,0.857378640776699
167,249430,21.53,37.09,0.63,1090,0.9175412844036699
168,250570,21.34,37.16,0.63,1140,0.958885964912281
169,251730,21.26,37.33,0.62,1160,0.9753362068965519
170,252690,21.19,37.35,0.62,960,0.8095625000000001
171,253760,21.16,37.23,0.62,1070,0.9011028037383177
172,255030,21.02,37.51,0.62,1270,1.0660157480314962
173,256050,20.95,37.57,0.62,1020,0.8595686274509805
174,257270,20.88,37.41,0.62,1220,1.0251639344262296
175,258240,20.78,37.62,0.62,970,0.8183092783505155
176,259460,20.69,37.61,0.62,1220,1.0254344262295083
177,260510,20.55,38.11,0.62,1050,0.8846666666666667
178,261740,20.47,38.47,0.62,1230,1.0333089430894309
179,262800,20.36,38.56,0.62,1060,0.8925377358490567
180,263920,20.16,38.21,0.62,1120,0.9420089285714287
181,265030,20.01,38.48,0.62,1110,0.9337657657657659
182,266170,19.99,38.92,0.62,1140,0.9585175438596492
183,267330,19.88,38.69,0.62,1160,0.9752327586206896
