transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,360,17.35,45.08,0.55,900,0.9157027027027026
1,1250,17.26,45.11,0.55,890,0.5729325842696629
2,2300,17.02,45.11,0.55,1050,0.6740952380952381
3,3590,16.87,44.95,0.55,1290,0.8256511627906977
4,4970,16.84,45.04,0.55,1380,0.882644927536232
5,6270,16.67,45.34,0.55,1300,0.8322923076923077
6,7560,16.64,45.51,0.55,1290,0.8192635658914729
7,8970,16.46,46.07,0.55,1410,0.8871134751773051
8,10470,16.29,46.49,0.55,1500,0.9423199999999999
9,12020,16.2,46.89,0.55,1550,0.9429161290322582
10,13580,16.19,46.84,0.55,1560,0.94725
11,15230,15.95,47.28,0.54,1650,0.9639818181818182
12,17010,15.77,47.48,0.54,1780,1.025865168539326
13,18750,15.54,47.9,0.54,1740,0.9683678160919541
14,20490,15.5,47.76,0.54,1740,0.9520747126436783
15,22250,15.46,47.67,0.54,1760,0.9214488636363637
16,24170,15.4,47.54,0.54,1920,0.9736093750000001
17,26140,20.72,36.33,0.54,1970,0.9544517766497461
18,28310,22.24,34.54,0.54,2170,1.0316359447004608
19,30660,23.83,32.44,0.54,2350,1.2709872340425534
20,32930,25.41,30.54,0.54,2270,1.3735594713656394
21,35000,23.43,33.35,0.54,2070,1.4341835748792273
22,36850,20.79,38.56,0.54,1850,1.4377243243243245
23,38450,20.28,37.03,0.54,1600,1.3015750000000001
24,39820,21.96,33.51,0.54,1370,1.1343868613138688
25,41010,21.74,33.06,0.54,1190,1.0220672268907558
26,42160,22.2,31.44,0.54,1150,0.9862347826086958
27,43290,22.34,31.53,0.54,1130,0.9689203539823009
28,44500,22.68,30.76,0.53,1210,1.0268760330578512
29,45710,22.73,30.54,0.52,1210,1.0256859504132232
30,46950,22.77,30.17,0.52,1240,1.0394596774193547
31,48100,23.26,28.7,0.52,1150,0.9308173913043479
32,49210,23.13,28.84,0.52,1110,0.8999909909909911
33,50320,23.4,28.17,0.52,1110,0.900063063063063
34,51340,23.11,28.93,0.52,1020,0.7775784313725489
35,52370,22.25,30.1,0.52,1030,0.7844271844660194
36,53490,22.23,29.99,0.52,1120,0.8512321428571428
