transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,860,18.96,42.61,0.59,900,0.5981839080459769
1,1960,19.24,41.68,0.59,1100,0.7042363636363638
2,3250,18.68,42.61,0.59,1290,0.8233178294573642
3,4720,18.5,42.72,0.59,1470,0.9366666666666668
4,6150,18.37,43.17,0.59,1430,0.911965034965035
5,7540,18.3,43.39,0.59,1390,0.8800071942446043
6,9140,18.18,43.06,0.59,1600,1.001775
7,10820,18.02,43.11,0.59,1680,1.0502142857142858
8,12510,17.96,43.52,0.59,1690,1.0225621301775147
9,14170,18.2,42.3,0.59,1660,1.0053192771084338
10,15870,17.71,43.79,0.59,1700,0.9808117647058823
11,17650,17.78,42.99,0.59,1780,1.0235112359550562
12,19480,18.09,42.57,0.59,1830,1.0000601092896175
13,21490,17.56,43.61,0.59,2010,1.0963980099502488
14,23420,18.02,42.36,0.59,1930,0.974839378238342
15,25430,19.17,40.12,0.59,2010,1.0007014925373132
16,27660,21.21,37.09,0.59,2230,1.0586188340807177
17,29930,22.33,35.45,0.59,2270,1.1958149779735683
18,32230,23.39,34.19,0.59,2300,1.2480695652173914
19,34460,23.91,32.47,0.59,2230,1.5330896860986543
20,36520,24.08,32.02,0.59,2060,1.5285145631067956
21,38330,23.23,32.79,0.59,1810,1.4663425414364644
22,39970,22.28,34.78,0.59,1640,1.3551829268292686
23,41430,22.16,34.14,0.59,1460,1.2439109589041095
24,42810,22.37,33.04,0.59,1380,1.1753695652173912
25,44310,22.64,32.24,0.59,1500,1.2627333333333333
26,45810,22.87,31.29,0.59,1500,1.2645333333333335
27,47350,22.72,31.68,0.59,1540,1.2634025974025973
28,48860,22.87,30.14,0.59,1510,1.2139801324503312
29,50400,23.04,29.76,0.59,1540,1.23612987012987
30,51960,22.9,30.0,0.59,1560,1.176801282051282
31,53650,22.73,29.96,0.59,1690,1.2735384615384617
32,55410,22.85,29.53,0.59,1760,1.2743465909090907
33,57210,23.1,28.96,0.59,1800,1.299972222222222
34,59080,22.53,29.33,0.59,1870,1.2968770053475938
35,60860,22.06,30.51,0.59,1780,1.2344101123595506
36,62590,21.36,32.14,0.59,1730,1.1686358381502888
37,64240,20.95,32.27,0.58,1650,1.115151515151515
38,66020,20.31,32.89,0.58,1780,1.2030505617977532
39,67790,20.83,32.63,0.58,1770,1.1953276836158193
40,69640,20.65,32.57,0.58,1850,1.2635189189189189
41,71420,20.57,32.54,0.58,1780,1.2176853932584268
42,73270,20.52,32.69,0.58,1850,1.2657837837837838
43,75070,20.41,32.44,0.58,1800,1.2355
44,76650,20.3,32.36,0.58,1580,1.1004113924050634
45,78210,20.15,32.4,0.58,1560,1.0864102564102565
46,79730,20.0,32.51,0.58,1520,1.0682697368421052
47,81290,19.91,32.51,0.58,1560,1.103397435897436
48,82920,19.8,32.3,0.58,1630,1.1504785276073621
49,84470,19.69,32.16,0.58,1550,1.0938774193548386
50,86090,19.62,32.08,0.58,1620,1.1448827160493829
51,87780,19.58,31.98,0.58,1690,1.2099822485207103
52,89400,19.45,31.88,0.58,1620,1.1589876543209876
53,91110,19.41,31.74,0.58,1710,1.2210058479532166
54,92990,19.22,31.67,0.58,1880,1.340468085106383
55,94790,18.95,31.67,0.58,1800,1.2850666666666666
56,96460,18.79,31.67,0.58,1670,1.1950778443113772
57,98220,18.61,31.49,0.58,1760,1.258221590909091
58,100040,18.44,31.6,0.58,1820,1.300587912087912
59,101980,18.29,31.69,0.58,1940,1.3685670103092784
60,103930,18.4,31.22,0.58,1950,1.3715333333333333
61,106010,18.15,31.79,0.58,2080,1.4416778846153844
62,108250,18.26,31.81,0.58,2240,1.5460357142857146
63,110600,18.36,32.02,0.58,2350,1.5995574468085108
64,112980,22.81,26.75,0.58,2380,1.6011512605042018
65,115290,24.36,25.45,0.58,2310,1.5628138528138527
66,117620,25.6,24.66,0.58,2330,1.6767768240343348
67,119810,26.07,23.98,0.58,2190,1.7286666666666666
68,121850,26.46,23.78,0.58,2040,1.6712450980392157
