transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,890,15.39,50.96,0.6,900,0.5791777777777777
1,2010,15.12,51.31,0.6,1120,0.7166517857142857
2,3260,15.12,51.15,0.6,1250,0.7982399999999998
3,4700,15.12,50.93,0.6,1440,0.9187291666666668
4,6130,14.9,51.19,0.6,1430,0.9127272727272727
5,7580,14.92,51.11,0.6,1450,0.9165586206896553
6,9170,14.72,51.73,0.6,1590,0.9949119496855346
7,10830,14.52,52.21,0.6,1660,1.0363253012048192
8,12530,14.49,52.27,0.6,1700,1.027229411764706
9,14290,14.4,52.43,0.6,1760,1.0644261363636363
10,16120,14.07,53.06,0.6,1830,1.0522568306010929
11,18080,13.87,53.44,0.6,1960,1.1197193877551022
12,19960,13.79,53.39,0.6,1880,1.0262340425531915
13,21820,13.71,53.36,0.6,1860,0.9979569892473119
14,23840,13.6,53.38,0.6,2020,1.0181039603960396
15,26080,17.95,42.94,0.6,2240,1.0865669642857143
16,28440,19.92,39.62,0.6,2360,1.117830508474576
17,30970,21.56,37.05,0.6,2530,1.3654782608695653
18,33340,22.86,34.3,0.6,2370,1.5049999999999997
19,35460,22.63,34.4,0.6,2120,1.463254716981132
20,37370,21.9,35.42,0.6,1910,1.518434554973822
21,39030,21.22,35.14,0.6,1660,1.3404999999999998
22,40520,21.03,36.22,0.6,1490,1.2598859060402687
23,41970,21.22,34.7,0.6,1450,1.2342275862068965
24,43350,21.64,32.82,0.6,1380,1.172731884057971
25,44750,21.79,31.95,0.6,1400,1.1776785714285714
26,46040,21.97,31.53,0.6,1290,1.09177519379845
27,47300,21.92,30.92,0.6,1260,1.0361269841269842
28,48560,22.34,30.08,0.6,1260,1.0180158730158728
29,49930,22.46,28.97,0.6,1370,1.1051167883211679
30,51410,22.38,29.76,0.6,1480,1.1248445945945946
31,53010,22.28,29.55,0.6,1600,1.2046375000000002
32,54860,22.34,29.19,0.6,1850,1.3516540540540543
33,56730,22.26,29.79,0.6,1870,1.3490588235294116
34,58690,22.19,29.68,0.6,1960,1.3663214285714287
35,60780,21.62,29.87,0.6,2090,1.4440526315789475
36,62920,21.24,30.85,0.6,2140,1.4391962616822431
37,65060,20.88,31.0,0.6,2140,1.438859813084112
38,67230,20.59,29.76,0.6,2170,1.456889400921659
39,69420,20.48,29.68,0.6,2190,1.4848675799086757
40,71520,19.77,30.7,0.6,2100,1.4313
41,73760,19.18,31.03,0.6,2240,1.5270982142857144
42,76040,18.74,31.55,0.6,2280,1.560289473684211
43,78300,18.33,32.17,0.6,2260,1.5613318584070799
44,80470,17.96,32.92,0.6,2170,1.5213410138248846
45,82510,17.67,33.08,0.6,2040,1.4348774509803919
46,84440,17.38,33.47,0.6,1930,1.3580880829015545
47,86420,17.33,33.31,0.6,1980,1.3931212121212122
48,88530,17.31,33.07,0.6,2110,1.5041611374407586
49,90560,17.14,33.02,0.6,2030,1.4471871921182269
50,92510,16.76,33.38,0.6,1950,1.388676923076923
51,94560,16.46,33.53,0.6,2050,1.4588487804878054
52,96570,16.01,34.02,0.6,2010,1.4342736318407963
53,98590,15.96,33.97,0.6,2020,1.4427079207920792
54,100680,15.74,34.61,0.6,2090,1.4897177033492823
55,102770,15.38,35.02,0.6,2090,1.4675885167464113
56,104940,15.48,34.75,0.6,2170,1.514741935483871
57,107110,15.66,34.56,0.6,2170,1.5030138248847924
58,109340,16.13,34.64,0.6,2230,1.523542600896861
