transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,400,18.51,42.57,0.72,900,0.8889756097560976
1,1280,18.38,42.5,0.72,880,0.5659318181818181
2,2280,18.24,42.61,0.72,1000,0.64188
3,3480,18.05,42.36,0.72,1200,0.7680583333333334
4,4880,17.88,42.67,0.72,1400,0.8938857142857144
5,6170,17.68,42.97,0.72,1290,0.8248992248062016
6,7420,17.61,43.09,0.72,1250,0.796344
7,8810,17.48,43.39,0.72,1390,0.8747841726618704
8,10270,17.32,43.72,0.72,1460,0.9182465753424659
9,11850,17.19,44.0,0.72,1580,0.9642531645569618
10,13440,17.06,44.28,0.72,1590,0.9667547169811324
11,15100,16.96,44.5,0.72,1660,0.975132530120482
12,16850,16.76,44.65,0.72,1750,1.009377142857143
13,18490,16.57,44.99,0.72,1640,0.920780487804878
14,20230,16.53,44.93,0.72,1740,0.9498965517241378
15,22070,16.47,45.11,0.72,1840,0.9727228260869567
16,23920,16.41,45.11,0.72,1850,0.9397459459459458
17,25980,21.71,35.14,0.72,2060,1.0067961165048542
18,28210,24.24,31.43,0.72,2230,1.0612152466367712
19,30570,26.31,28.47,0.72,2360,1.2736525423728813
20,32940,27.58,27.22,0.72,2370,1.4287257383966248
21,35300,29.96,23.79,0.72,2360,1.6256398305084747
22,37510,25.18,30.12,0.72,2210,1.755316742081448
23,39530,24.57,30.48,0.71,2020,1.6308762376237622
24,41510,24.7,29.23,0.71,1980,1.6773535353535354
25,43450,24.93,28.47,0.7,1940,1.6404123711340202
26,45380,24.98,28.29,0.7,1930,1.6188911917098443
27,47370,24.52,28.44,0.7,1990,1.6300452261306533
28,49360,24.35,28.33,0.7,1990,1.5908140703517586
29,51300,24.15,28.52,0.7,1940,1.485840206185567
30,53210,23.85,28.97,0.7,1910,1.4378167539267017
31,55070,23.84,28.83,0.7,1860,1.3553655913978493
32,56990,24.0,29.0,0.7,1920,1.3888854166666667
33,58990,23.56,29.65,0.7,2000,1.392
34,61030,22.74,30.04,0.7,2040,1.414553921568627
35,63050,22.7,30.04,0.7,2020,1.3612722772277228
36,65100,22.61,29.97,0.7,2050,1.3798731707317076
37,67170,22.35,29.37,0.7,2070,1.3939613526570045
38,69280,22.04,28.84,0.7,2110,1.4349289099526064
39,71430,21.74,29.15,0.7,2150,1.4691953488372091
40,73620,21.44,28.86,0.7,2190,1.4971872146118723
41,75910,21.12,28.31,0.7,2290,1.570397379912664
42,78040,20.86,28.04,0.7,2130,1.4771690140845066
43,80160,20.56,28.33,0.7,2120,1.4841556603773582
44,82250,20.34,28.4,0.7,2090,1.4699665071770336
45,84230,20.11,28.44,0.7,1980,1.3959949494949495
46,86140,19.98,28.45,0.7,1910,1.3479790575916228
47,88010,19.84,28.4,0.7,1870,1.336342245989305
48,89840,19.71,28.4,0.7,1830,1.3083606557377048
49,91680,19.53,28.47,0.7,1840,1.315554347826087
50,93540,19.11,28.48,0.7,1860,1.3298763440860215
51,95370,18.79,28.54,0.7,1830,1.3078961748633882
52,97180,18.56,28.56,0.7,1810,1.295839779005525
53,98960,18.37,28.76,0.7,1780,1.2738258426966291
54,100700,18.18,29.16,0.7,1740,1.2454712643678163
55,102340,18.01,29.15,0.7,1640,1.1576402439024391
56,104140,17.79,29.54,0.7,1800,1.2680555555555557
57,106050,17.7,29.76,0.7,1910,1.325675392670157
58,107960,17.73,30.11,0.7,1910,1.3274293193717277
59,109780,17.75,30.58,0.7,1820,1.2486978021978024
60,111590,17.75,31.03,0.7,1810,1.2411823204419892
61,113150,24.72,23.42,0.7,1560,1.056153846153846
62,114660,26.42,21.95,0.7,1510,1.0225364238410595
63,116060,27.28,21.07,0.7,1400,1.0086642857142856
64,117300,27.68,21.33,0.7,1240,0.9050725806451613
65,118410,30.24,18.85,0.7,1110,0.8112432432432435
66,119510,23.91,25.49,0.7,1100,0.9008727272727274
67,120580,22.78,27.29,0.7,1070,0.8898130841121497
68,121490,23.99,25.47,0.7,910,0.7579780219780219
69,122450,26.18,23.01,0.7,960,0.8044270833333333
70,123260,26.8,22.61,0.7,810,0.7086419753086419
71,124160,26.47,23.4,0.7,900,0.7863666666666667
72,125010,26.25,23.53,0.7,850,0.7437294117647062
73,125890,25.09,25.24,0.7,880,0.7686136363636363
74,126660,24.26,26.39,0.7,770,0.6896753246753246
75,127410,23.51,27.26,0.7,750,0.6724399999999999
76,128380,22.79,28.07,0.7,970,0.8648144329896906
77,129340,23.18,27.64,0.7,960,0.8571458333333332
78,130290,23.89,26.97,0.7,950,0.8397473684210524
79,131280,24.34,26.92,0.7,990,0.8736565656565658
80,132220,24.69,26.75,0.7,940,0.8298723404255319
81,133090,24.21,27.3,0.7,870,0.7694827586206897
82,133910,24.04,27.9,0.7,820,0.7099390243902439
83,134860,23.79,28.9,0.7,950,0.8195894736842105
84,135790,23.49,30.18,0.7,930,0.8023655913978495
85,136780,23.35,30.58,0.7,990,0.853909090909091
86,137760,23.36,30.67,0.7,980,0.8263265306122449
87,138860,23.34,31.05,0.7,1100,0.9256454545454545
88,139870,23.14,31.5,0.7,1010,0.8507029702970298
89,141060,23.18,31.6,0.7,1190,0.9809915966386554
90,142280,23.26,31.41,0.7,1220,1.0011557377049178
91,143490,23.44,31.38,0.7,1210,0.9930578512396694
92,144730,24.2,30.66,0.7,1240,1.006782258064516
93,145930,22.75,33.48,0.7,1200,0.9725916666666667
94,147160,21.84,35.27,0.7,1230,0.9962520325203252
95,148430,22.07,35.2,0.7,1270,1.0059212598425193
96,149780,21.99,35.55,0.7,1350,1.0651111111111111
97,151130,21.57,36.22,0.7,1350,1.0654000000000001
98,152430,22.29,35.3,0.7,1300,1.0140692307692307
99,153790,22.2,35.44,0.7,1360,1.060095588235294
100,155270,22.01,35.78,0.7,1480,1.1521689189189188
101,156690,21.81,36.16,0.7,1420,1.106330985915493
102,157980,21.64,36.61,0.7,1290,1.0062325581395348
103,159320,21.49,36.68,0.7,1340,1.044328358208955
104,160670,21.26,36.75,0.7,1350,1.0518962962962963
105,162010,21.06,36.96,0.7,1340,1.0440522388059699
106,163230,20.93,37.02,0.7,1220,0.951983606557377
107,164500,20.77,37.23,0.7,1270,0.9908976377952756
108,165950,20.61,37.16,0.7,1450,1.1351379310344827
109,167270,20.46,37.23,0.7,1320,1.042280303030303
110,168630,20.3,37.47,0.7,1360,1.0732720588235294
111,170080,19.99,37.89,0.7,1450,1.1431586206896553
112,171440,19.75,38.44,0.7,1360,1.0733382352941176
113,172800,19.54,38.77,0.7,900,1.073301470588235
114,173710,19.38,39.06,0.7,910,0.731956043956044
115,174850,19.19,39.42,0.7,1140,0.9135701754385964
116,176150,18.99,39.76,0.7,1300,1.039553846153846
117,177540,18.73,40.53,0.7,1390,1.1101366906474819
118,178910,18.5,40.77,0.7,1370,1.0943722627737227
119,180240,18.28,40.6,0.7,1330,1.0628421052631578
120,181660,18.21,40.5,0.7,1420,1.133774647887324
121,183110,18.03,40.64,0.7,1450,1.1574620689655173
122,184410,17.91,40.65,0.7,1300,1.0394615384615382
123,185740,17.78,40.7,0.7,1330,1.063406015037594
124,187010,17.7,40.65,0.7,1270,1.0161338582677166
125,188400,17.57,40.78,0.7,1390,1.0970143884892087
126,189860,17.37,41.16,0.7,1460,1.15136301369863
127,191240,17.25,40.97,0.7,1380,1.081695652173913
128,192740,17.16,41.18,0.7,1500,1.1671733333333334
129,194070,17.15,41.35,0.7,1330,1.0366315789473683
130,195360,17.05,41.51,0.7,1290,0.9939224806201552
131,196640,17.0,41.5,0.7,1280,0.9855078125
132,198070,17.39,40.72,0.7,1430,1.0959090909090912
133,199300,24.09,29.75,0.7,1230,0.9230813008130082
134,200750,25.5,27.79,0.7,1450,1.085393103448276
135,202020,26.43,26.46,0.7,1270,0.9669763779527558
136,203470,27.18,25.52,0.7,1450,1.1142827586206896
137,204670,27.95,24.58,0.7,1200,0.9246083333333331
138,205960,30.02,22.48,0.7,1290,1.0466511627906976
139,207110,26.31,26.61,0.7,1150,0.9441826086956521
140,208240,23.47,30.58,0.7,1130,0.9279026548672563
141,209360,24.21,29.29,0.7,1120,0.9534732142857143
142,210340,24.67,28.9,0.7,980,0.8457551020408164
