transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,270,18.75,44.68,0.73,900,0.9706071428571429
1,1110,18.65,44.8,0.73,840,0.5405714285714286
2,2110,18.52,44.74,0.73,1000,0.64152
3,3240,18.4,44.58,0.73,1130,0.7233097345132743
4,4450,18.24,44.67,0.73,1210,0.7742314049586777
5,5720,18.09,44.75,0.73,1270,0.8121653543307086
6,7100,17.95,44.94,0.73,1380,0.8817318840579711
7,8500,17.81,45.03,0.73,1400,0.8806928571428572
8,9990,17.64,45.31,0.73,1490,0.9361073825503355
9,11560,17.52,45.61,0.73,1570,0.9625859872611464
10,13210,17.45,45.64,0.73,1650,1.0028000000000001
11,14920,17.27,46.07,0.73,1710,1.0128421052631578
12,16730,17.05,46.32,0.73,1810,1.0431049723756909
13,18620,16.85,46.56,0.73,1890,1.0554761904761905
14,20520,16.85,46.62,0.73,1900,1.0345578947368421
15,22460,16.73,46.85,0.73,1940,1.0033505154639175
16,24470,16.72,46.89,0.73,2010,1.0139203980099503
17,26600,22.22,36.21,0.73,2130,1.0173380281690139
18,28840,23.9,34.22,0.73,2240,1.0678883928571428
19,31160,25.82,31.41,0.73,2320,1.2583318965517238
20,33580,22.06,38.82,0.73,2420,1.5661239669421487
21,35750,22.84,37.02,0.73,2170,1.4918018433179725
22,37850,23.2,36.3,0.72,2100,1.6854857142857145
23,39870,23.46,34.57,0.72,2020,1.6478762376237626
24,41770,23.57,33.73,0.72,1900,1.609821052631579
25,43690,23.88,32.89,0.72,1920,1.6164583333333333
26,45600,24.09,32.02,0.72,1910,1.6027068062827228
27,47550,24.02,31.76,0.72,1950,1.588328205128205
28,49440,23.86,31.3,0.72,1890,1.5103439153439153
29,51320,23.82,31.88,0.72,1880,1.4368936170212765
30,53080,23.47,31.86,0.72,1760,1.3249261363636362
31,55080,23.08,32.3,0.72,2000,1.4542699999999997
32,57090,22.69,33.07,0.72,2010,1.4508407960199006
33,59240,22.06,33.77,0.72,2150,1.490869767441861
34,61400,21.23,34.54,0.71,2160,1.486884259259259
35,63590,20.52,36.15,0.71,2190,1.4716118721461187
36,65750,21.79,33.31,0.71,2160,1.4550416666666666
37,67880,22.0,33.06,0.71,2130,1.4320046948356808
38,70000,21.69,32.4,0.71,2120,1.4459481132075471
39,72170,21.49,32.4,0.71,2170,1.4823271889400922
40,74260,21.38,32.36,0.71,2090,1.427004784688995
41,76350,21.0,32.6,0.71,2090,1.4392153110047845
42,78430,20.77,32.56,0.71,2080,1.4416442307692308
43,80400,20.55,32.64,0.71,1970,1.3830507614213194
44,82300,20.44,32.42,0.71,1900,1.3388000000000002
45,84110,20.29,32.03,0.71,1810,1.2754088397790055
46,85840,20.21,31.78,0.71,1730,1.2208092485549134
47,87540,20.02,31.81,0.71,1700,1.213729411764706
48,89180,19.98,31.74,0.71,1640,1.1735
49,90900,19.86,31.88,0.71,1720,1.2300348837209303
50,92650,19.5,31.53,0.71,1750,1.250897142857143
51,94450,19.28,31.19,0.71,1800,1.2852055555555555
52,96310,18.93,31.24,0.71,1860,1.3270161290322582
53,98110,18.73,31.38,0.71,1800,1.2860166666666666
54,100030,18.52,31.47,0.71,1920,1.371
55,101880,18.32,31.74,0.71,1850,1.3064054054054055
56,103610,18.19,31.82,0.71,1730,1.218421965317919
57,105390,17.99,32.53,0.71,1780,1.23773595505618
58,107180,17.85,33.52,0.71,1790,1.2418603351955309
59,108960,17.95,33.2,0.71,1780,1.2215955056179773
60,110580,17.93,33.88,0.7,1620,1.1100802469135802
61,112110,22.17,28.47,0.7,1530,1.041816993464052
62,113690,24.16,26.9,0.7,1580,1.0682151898734176
63,115280,25.62,25.81,0.7,1590,1.0845094339622643
64,116690,21.78,31.78,0.7,1410,1.0251773049645392
65,117950,22.47,31.08,0.7,1260,0.9181190476190478
66,119170,22.08,31.78,0.7,1220,0.9525491803278688
67,120300,22.25,31.74,0.7,1130,0.9363628318584073
68,121280,22.4,31.45,0.7,980,0.8144285714285713
69,122110,22.88,30.71,0.7,830,0.6919036144578313
70,123030,23.32,30.33,0.7,920,0.799804347826087
71,123990,23.44,30.64,0.7,960,0.8372916666666665
72,124940,23.73,30.11,0.7,950,0.8286315789473687
73,125690,23.56,30.42,0.7,750,0.6573466666666666
74,126420,23.39,30.82,0.7,730,0.651958904109589
75,127210,22.58,32.31,0.7,790,0.7077594936708861
76,128110,21.72,33.46,0.7,900,0.8032333333333336
77,129180,21.79,33.46,0.69,1070,0.9525420560747664
78,130180,21.88,33.61,0.69,1000,0.8844899999999999
79,131180,21.81,33.82,0.69,1000,0.8823799999999999
80,132100,20.8,35.87,0.69,920,0.8130434782608695
81,132920,21.09,35.57,0.69,820,0.7261951219512195
82,133780,21.28,35.53,0.69,860,0.7454302325581397
83,134750,21.19,36.8,0.69,970,0.8370515463917526
84,135750,20.85,37.95,0.69,1000,0.8623200000000001
85,136680,20.87,38.73,0.69,930,0.8029354838709677
86,137740,20.59,38.92,0.69,1060,0.8926037735849055
87,138780,20.57,39.47,0.69,1040,0.8756153846153846
88,139890,20.52,39.28,0.69,1110,0.9330180180180179
89,141090,21.62,37.33,0.69,1200,0.988675
90,142380,21.82,36.77,0.69,1290,1.0573410852713179
91,143600,22.07,36.7,0.69,1220,1.0005409836065575
92,144900,22.56,35.75,0.69,1300,1.0529846153846154
93,146110,21.36,37.73,0.69,1210,0.9811983471074377
94,147340,21.22,38.66,0.69,1230,0.9971463414634146
95,148610,20.97,39.31,0.69,1270,1.0041574803149607
96,149870,20.64,40.03,0.69,1260,0.9947063492063493
97,151260,20.41,41.03,0.69,1390,1.0941654676258994
