transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,730,17.04,45.64,0.53,900,0.6800945945945945
1,1720,16.91,45.74,0.53,990,0.6353333333333333
2,2860,16.67,45.6,0.53,1140,0.7297631578947369
3,4140,16.53,45.68,0.53,1280,0.8177578124999998
4,5490,16.5,45.79,0.53,1350,0.8617185185185186
5,6890,16.44,45.98,0.52,1400,0.8930642857142858
6,8280,16.3,46.32,0.52,1390,0.8734604316546762
7,9700,16.08,47.02,0.52,1420,0.8911478873239436
8,11210,16.0,47.3,0.52,1510,0.9326821192052979
9,12810,15.99,47.39,0.52,1600,0.97080625
10,14440,15.84,47.67,0.52,1630,0.9863251533742333
11,16110,15.52,48.25,0.52,1670,0.9637964071856288
12,17830,15.33,48.56,0.52,1720,0.9924476744186046
13,19530,15.12,48.64,0.52,1700,0.9307764705882354
14,21370,15.17,48.4,0.52,1840,1.005429347826087
15,23150,15.12,48.2,0.52,1780,0.904258426966292
16,25110,15.12,47.93,0.52,1960,0.9927653061224493
17,27080,22.22,33.75,0.52,1970,0.9384923857868022
18,29050,23.33,32.09,0.52,1970,0.9708477157360406
19,31050,25.12,30.14,0.51,2000,1.08952
20,33120,26.76,27.11,0.51,2070,1.3015845410628017
21,34950,22.18,35.3,0.51,1830,1.2709562841530055
22,36570,21.23,37.64,0.51,1620,1.2400123456790124
23,37940,19.94,38.13,0.51,1370,1.1165985401459855
24,39120,22.26,32.73,0.51,1180,0.9649067796610168
25,40150,22.16,32.33,0.51,1030,0.8783786407766989
26,41170,21.94,31.73,0.51,1020,0.8790098039215686
27,42150,22.74,29.43,0.51,980,0.8423877551020408
28,43190,22.63,30.58,0.51,1040,0.8951346153846154
29,44220,23.13,29.3,0.51,1030,0.8777475728155338
30,45270,22.97,29.82,0.51,1050,0.8932666666666665
31,46430,23.45,27.96,0.51,1160,0.9837672413793106
32,47610,23.32,27.95,0.51,1180,0.9586440677966104
33,48700,23.7,27.06,0.51,1090,0.8843119266055046
34,49760,23.66,26.59,0.51,1060,0.8599905660377358
35,50880,23.52,27.58,0.51,1120,0.8696160714285713
36,52080,22.27,29.27,0.51,1200,0.9101
37,53440,22.37,28.87,0.51,1360,1.0290955882352941
38,54910,22.61,28.58,0.51,1470,1.0754013605442176
39,56400,22.43,29.26,0.51,1490,1.084060402684564
40,57990,22.48,29.42,0.51,1590,1.1351823899371072
41,59610,22.19,28.82,0.51,1620,1.1289382716049385
42,61340,22.17,28.51,0.51,1730,1.1992716763005782
43,63080,22.0,28.93,0.51,1740,1.1761724137931033
44,64860,22.53,28.31,0.51,1780,1.2016011235955055
45,66650,22.26,28.94,0.51,1790,1.2090391061452515
46,68510,22.3,26.58,0.51,1860,1.2588709677419354
47,70430,21.94,26.82,0.51,1920,1.3154739583333332
48,72270,21.81,27.1,0.51,1840,1.2619293478260871
49,74050,21.22,27.27,0.51,1780,1.2207022471910112
50,75850,20.93,27.47,0.51,1800,1.2396333333333331
51,77560,20.63,27.69,0.51,1710,1.1930350877192983
52,79330,20.34,28.25,0.51,1770,1.2362542372881355
53,81100,20.07,28.4,0.51,1770,1.2498983050847459
54,82930,19.83,28.55,0.51,1830,1.290333333333333
55,84660,19.6,28.72,0.51,1730,1.2209826589595374
56,86410,19.51,28.53,0.51,1750,1.2360571428571425
57,88150,19.43,28.62,0.51,1740,1.2454367816091956
58,89800,19.31,28.47,0.51,1650,1.1812787878787878
59,91460,19.19,28.41,0.51,1660,1.1882108433734941
60,93120,18.77,28.47,0.51,1660,1.1914156626506023
61,94700,18.49,28.62,0.51,1580,1.1344620253164557
62,96190,18.14,28.95,0.51,1490,1.0698993288590604
63,97720,17.99,29.04,0.51,1530,1.0966470588235295
64,99340,17.94,29.18,0.51,1620,1.161611111111111
65,100990,17.68,29.61,0.51,1650,1.1803636363636363
66,102560,17.43,29.99,0.51,1570,1.1111337579617835
67,104070,17.29,30.21,0.51,1510,1.0675033112582781
68,105670,17.41,30.23,0.51,1600,1.1148812499999998
69,107240,17.48,30.36,0.51,1570,1.0965668789808918
70,108870,17.72,30.68,0.51,1630,1.1244601226993864
71,110590,17.83,30.99,0.51,1720,1.181860465116279
